"gcm","scenario","year","dist","q05","q17","q50","q83","q95","mean"
"MRI-ESM2-0","ssp126",2045,"posterior",-2.7570428775801,-0.496899328025573,3.08482923427962,7.20636539460019,10.0112551979911,3.29429744525047
"EC-Earth3-Veg","ssp126",2045,"prior",-5.75264298133242,-2.7665004614827,3.00994749133128,11.0290130272596,15.4323828440531,3.82275327848971
"EC-Earth3-Veg","ssp126",2045,"posterior",-3.52547312263593,-0.240500130417283,6.38442354786396,13.3638905387262,16.5574319857227,6.43761224350284
"MIROC-ES2L","ssp126",2045,"prior",8.80198083344929,12.8884486614045,22.3345384527207,38.3993470733645,46.58914833403,24.7812764295205
"MIROC-ES2L","ssp126",2045,"posterior",8.93533180806061,12.1972499995655,17.6587340888629,26.3923210790113,33.8642368743273,19.0757534835169
"ALL (uniform GCM prior)","ssp126",2045,"prior",-5.30098322789405,-2.30817677868867,3.35229046778773,17.0854467572109,36.6976990140371,7.5146440380998
"ALL (uniform GCM prior)","ssp126",2045,"posterior",-4.01191200526382,-1.14637296291354,4.59940552004973,15.8556871839704,25.1614789008911,7.08815251477226
"CESM2-WACCM","ssp534-over",2045,"prior",-7.44478867739461,-4.61677625238932,-0.952163092279996,2.78415821868292,5.11529446652336,-1.00634225712031
"CESM2-WACCM","ssp534-over",2045,"posterior",-5.8021271287162,-3.65384167088484,-0.430990824531526,2.84617661409621,4.93657816299456,-0.457073073739489
"MRI-ESM2-0","ssp534-over",2045,"prior",-3.34080287917822,-1.2974738316448,2.34153640963762,6.77077283880009,9.91958855506414,2.68232640693033
"MRI-ESM2-0","ssp534-over",2045,"posterior",-2.53601077093538,-0.278301685241225,3.30452439910191,7.43722735178337,10.2438092205539,3.51847091376698
"EC-Earth3-Veg","ssp534-over",2045,"prior",-5.11079151732513,-2.12776292632315,3.65241463276792,11.6870769981268,16.0966618782471,4.46959517528582
"EC-Earth3-Veg","ssp534-over",2045,"posterior",-2.89290744460868,0.398973309889468,7.02969930644358,14.0255195606466,17.2208526011962,7.08775430149999
"MIROC-ES2L","ssp534-over",2045,"prior",9.16817022368034,13.2507368299221,22.6917351534501,38.7767757751373,46.9752064275066,25.1415971335564
"MIROC-ES2L","ssp534-over",2045,"posterior",9.29380393530311,12.5614358842183,18.0163710213244,26.744276719277,34.2129156876598,19.4325865753217
"ALL (uniform GCM prior)","ssp534-over",2045,"prior",-5.10905344034267,-2.07366042081434,3.62055147669976,17.5235551146138,37.0731019993994,7.82179411466306
"ALL (uniform GCM prior)","ssp534-over",2045,"posterior",-3.88859200242285,-0.950768821238502,4.90072602892667,16.3322667416275,25.5169731990249,7.39543467921238
"CESM2-WACCM","ssp585",2045,"prior",-5.47505215834663,-2.98180969841598,0.73182191309314,4.83123669069824,7.55771721498209,0.842105381907437
"CESM2-WACCM","ssp585",2045,"posterior",-4.27963948733143,-2.18517503446842,1.06902417967942,4.63057982109521,7.12839678221965,1.17639231753188
"MRI-ESM2-0","ssp585",2045,"prior",-2.65061801493056,-0.473476237105519,3.17712643624994,8.16366589998592,11.7733757734545,3.70457649558676
"MRI-ESM2-0","ssp585",2045,"posterior",-1.64518308386509,0.501844865722422,4.18006355426526,8.95723096049368,12.1478035008666,4.59041491403397
"EC-Earth3-Veg","ssp585",2045,"prior",-6.8182230703527,-3.78608667667028,1.97278199945176,10.2364524153404,14.7759500534531,2.8704988994231
"EC-Earth3-Veg","ssp585",2045,"posterior",-4.66613229119788,-1.43057915041078,5.35677103522623,12.5612436759846,15.9265305092644,5.45191551384104
"MIROC-ES2L","ssp585",2045,"prior",9.2881436419097,12.9845036859662,21.5798625604174,37.7549139003133,46.021743406459,24.3871717311966
"MIROC-ES2L","ssp585",2045,"posterior",9.489174591698,12.3539832254192,17.2938068975694,25.4812412380313,32.9116548491321,18.7534230231468
"ALL (uniform GCM prior)","ssp585",2045,"prior",-4.79701357563602,-1.554977262283,4.30088559199982,16.7166550941187,36.0789112351764,7.95108812702854
"ALL (uniform GCM prior)","ssp585",2045,"posterior",-3.33846070272653,-0.361435614172335,5.45944728313877,15.5501767227483,24.3085880598789,7.49303644213848
"CESM2-WACCM","ssp126",2050,"prior",-9.41817014260564,-6.24908916637012,-1.50078676496267,4.37995128972701,8.49877829769858,-1.08847013353143
"CESM2-WACCM","ssp126",2050,"posterior",-8.23011041593729,-5.50244813612715,-1.37017216392926,3.52727842913418,7.35933027325355,-1.02818732472218
"MRI-ESM2-0","ssp126",2050,"prior",-5.76098141501312,-3.43225713730885,0.678994880194551,5.72387680809742,9.47161967513157,1.08530972484308
"MRI-ESM2-0","ssp126",2050,"posterior",-4.83253337975021,-2.28492103350129,1.72082783190049,6.48131041619208,9.84954508325472,2.02184236912143
"EC-Earth3-Veg","ssp126",2050,"prior",-6.6142742324571,-2.97914441713094,4.50689239122214,15.2326545203445,21.1044144693085,5.73665097289232
